# Lattice: 60^2
# T mag magerr sus suserr eng engerr heat heaterr
1 0.999277 2.24976e-06 4.37151e-07 1.76796e-09 -3.99433 1.72854e-05 2.59912e-05 1.00534e-07
1.075 0.9987 3.12389e-06 7.43479e-07 2.7309e-09 -3.98988 2.36553e-05 4.0074e-05 1.42422e-07
1.15 0.997825 4.18046e-06 1.20862e-06 4.21998e-09 -3.98322 3.06986e-05 5.89619e-05 1.96817e-07
1.225 0.996549 5.51631e-06 1.88958e-06 6.66723e-09 -3.97363 4.00677e-05 8.33676e-05 2.76377e-07
1.3 0.994774 7.007e-06 2.82273e-06 9.98411e-09 -3.96053 4.94965e-05 0.000112158 3.74918e-07
1.375 0.992356 9.12909e-06 4.15081e-06 1.41092e-08 -3.94307 6.2159e-05 0.000147617 4.76206e-07
1.45 0.989154 1.1607e-05 5.97576e-06 1.99399e-08 -3.92049 7.65155e-05 0.000190063 6.05925e-07
1.525 0.984988 1.48039e-05 8.46572e-06 2.81322e-08 -3.89201 9.19254e-05 0.000236148 7.69064e-07
1.6 0.979582 1.94612e-05 1.20904e-05 3.92479e-08 -3.85628 0.000112562 0.000292419 9.21179e-07
1.675 0.97277 2.55005e-05 1.70283e-05 5.63957e-08 -3.8129 0.000136631 0.000355822 1.12237e-06
1.75 0.963981 3.44178e-05 2.43333e-05 7.9053e-08 -3.75976 0.00016776 0.000428598 1.41335e-06
1.825 0.95281 4.63977e-05 3.57175e-05 1.21971e-07 -3.69586 0.000201396 0.00051779 1.6108e-06
1.9 0.93821 7.18608e-05 5.51336e-05 1.91246e-07 -3.6187 0.000266052 0.000624214 1.94314e-06
1.975 0.919177 0.000112427 8.90263e-05 3.30873e-07 -3.52641 0.000336363 0.000756182 2.36637e-06
2.05 0.892732 0.000205467 0.000162899 6.27421e-07 -3.41351 0.0004694 0.000927928 2.90358e-06
2.125 0.85277 0.000551008 0.000389203 1.83638e-06 -3.27255 0.000861584 0.00120651 3.87894e-06
2.175 0.812925 0.00122558 0.000808146 4.36808e-06 -3.15932 0.00126882 0.00140871 4.53546e-06
2.225 0.749067 0.00358604 0.00245637 2.30353e-05 -3.02067 0.00238225 0.00178253 5.70441e-06
2.275 0.597718 0.0152888 0.0102458 4.8006e-05 -2.83085 0.00590683 0.00231598 6.94805e-06
2.325 0.330041 0.01172 0.0151507 3.19827e-05 -2.61616 0.0034945 0.00192433 6.1497e-06
2.375 0.203536 0.00600977 0.00824913 2.28265e-05 -2.46915 0.00185756 0.00139276 4.61236e-06
2.425 0.15108 0.00336551 0.00475701 1.53175e-05 -2.3547 0.00110483 0.00115883 3.65211e-06
2.475 0.117069 0.00212447 0.00305178 1.03852e-05 -2.25683 0.00082256 0.00101629 3.12285e-06
2.525 0.0980582 0.00143688 0.00215605 7.72149e-06 -2.17043 0.000679204 0.000910784 2.8596e-06
2.575 0.0844453 0.00114276 0.00156081 5.63744e-06 -2.09257 0.000588825 0.000820943 2.59816e-06
2.65 0.0716163 0.000722188 0.00109176 3.94806e-06 -1.98924 0.000482754 0.000717434 2.20757e-06
2.725 0.0624351 0.000532817 0.000814124 3.01605e-06 -1.89729 0.00043446 0.00063945 2.01428e-06
2.8 0.0557607 0.000409929 0.00062345 2.35188e-06 -1.816 0.000372124 0.000566152 1.91779e-06
2.875 0.0516033 0.000351182 0.000528879 2.00349e-06 -1.74288 0.00034393 0.000513261 1.57841e-06
2.95 0.0476635 0.000287663 0.000433209 1.62728e-06 -1.6758 0.000310601 0.000470218 1.47725e-06
3.025 0.0446263 0.000254211 0.000377073 1.40888e-06 -1.61518 0.000291082 0.000433324 1.40548e-06
