# Lattice: 60^2 B = 0 iterations = 50000 Algorithm: met
# radius correlation
1 0.0015245439993015
1.4142135623731 0.000269119999300349
2 0.000122730665966131
2.23606797749979 -8.19200070008297e-06
3 -5.92213340335953e-05
3.16227766016838 -4.04160006994281e-05
4 -5.62133340330136e-05
4.12310562561766 3.99999930036921e-06
5 -2.77760006996261e-05
5.09901951359278 3.22925707288186e-05
6 0.000115647999299843
6.08276253029822 2.90742787137762e-06
7 3.41119992998499e-05
7.07106781186548 -2.0142546154375e-05
8 -5.89653340336005e-05
8.06225774829855 4.01679993008927e-05
9 -5.51040006997276e-05
9.05538513813742 8.93279993006979e-05
10 -6.938584685365e-05
10.0498756211209 -4.24800006998682e-05
11 1.30133326335935e-05
11.0453610171873 -6.75520007001745e-05
12 2.32533263344603e-06
12.0415945787923 -7.51760007000335e-05
13 -2.32369237768576e-05
13.0384048104053 -2.78640006998315e-05
14 4.42026659667009e-05
14.0356688476182 0.000106943999300321
15 -3.21371435568683e-05
15.0332963783729 4.38719993004072e-05
16 -1.252266736577e-05
16.0312195418814 -4.34400006997931e-05
17 9.80114215734121e-06
17.0293863659264 -3.50160006999944e-05
18 8.4117332633397e-05
18.0277563773199 -2.5889392004599e-05
19 9.58293326335236e-05
19.0262975904404 0.000121823999300608
20 3.80858174820627e-05
20.0249843945008 3.07839993000381e-05
21 2.68799930080998e-06
21.0237960416286 -1.82400069929922e-06
22 2.52159992996104e-05
22.0227155455452 -1.19786673661674e-05
23 -7.86773340325138e-05
23.0217288664427 1.84159993001365e-05
24 8.14933263382223e-06
24.0208242989286 -8.64000699346557e-07
25 1.72799992997403e-05
25.0199920063936 1.00159993000892e-05
26 4.27702850145849e-05
26.0192236625154 -1.66400006996192e-05
27 -2.93120007003692e-05
27.0185121722126 -9.37120007003939e-05
28 -4.35200070025843e-06
28.0178514522438 -2.98560007000043e-05
29 -3.90144007001547e-05
29.0172362570938 -1.12000069935059e-06
30 -2.18514292714054e-05
30.0166620396073 -3.31200069977888e-06
31 -5.06453340325767e-05
31.0161248385416 -2.19520006993212e-05
32 3.87413326337072e-05
32.0156211871642 1.73567993003054e-05
33 1.39519993002102e-05
33.0151480384384 4.59093326332649e-05
34 2.23999993001568e-05
34.0147027033899 -5.40800006997855e-05
35 -3.36896007004706e-05
35.0142828000232 3.37279992998762e-05
36 -5.80266673670208e-05
36.0138862107382 -1.61280006996389e-05
37 2.01325707288432e-05
37.0135110466435 2.71146659668875e-05
38 -1.85600007009586e-05
38.0131556174964 7.2255999299542e-05
39 -3.34994292713965e-05
39.0128184062623 1.7183999299647e-05
40 6.52799930003223e-06
40.0124980474851 2.68799929933894e-06
41 -5.03405721282395e-05
41.0121933088198 2.99007992996536e-05
42 -nan
