# Lattice: 60^2 B = 0.1 iterations = 200000 Algorithm: wolff
# T mag magerr sus suserr eng engerr heat heaterrclustersize clustersizeerr
1.5 0.9865 8.16432e-06 7.54782e-06 2.59027e-08 -3.90229 -nan 0.00454981 4.57215e-063504.14 0.912388
1.575 0.981544 1.01076e-05 1.06596e-05 3.66887e-08 -3.86905 -nan 0.0041505 4.67515e-063467.1 1.07933
1.65 0.975225 1.26778e-05 1.51016e-05 5.07256e-08 -3.82836 -nan 0.00382213 4.98592e-063422.85 1.23375
1.725 0.967175 1.60108e-05 2.15856e-05 7.38772e-08 -3.77873 -nan 0.00354579 5.28361e-063367.57 1.39342
1.8 0.956826 2.08391e-05 3.16871e-05 1.07503e-07 -3.71844 -nan 0.0033193 5.51241e-063295.44 1.56595
1.875 0.94357 2.71191e-05 4.76426e-05 1.74293e-07 -3.64622 -nan 0.0031217 5.6507e-063203.68 1.76401
1.95 0.926195 3.67039e-05 7.51919e-05 2.68916e-07 -3.55931 -nan 0.00296334 5.90359e-063088.37 1.9561
2.025 0.902559 5.28135e-05 0.000131267 5.55507e-07 -3.45362 7.43729e-05 0.00285405 6.35919e-062935.3 2.15843
2.1 0.868791 8.33804e-05 0.000265039 1.2894e-06 -3.32445 0.000162962 0.00277788 7.03176e-062717.48 2.38839
2.15 0.835848 0.000125459 0.000500205 2.94643e-06 -3.21955 0.000216294 0.00276372 7.1987e-062518.39 2.56705
2.2 0.784925 0.000244401 0.00136652 1.25569e-05 -3.09348 0.0004268 0.00284857 8.02567e-062226.78 2.80527
2.25 0.678967 0.000694039 0.00672117 4.37007e-05 -2.92786 0.000674951 0.00309273 9.33109e-061716.16 3.56662
2.3 0.447784 0.00136369 0.0174725 4.25313e-05 -2.71435 0.00105148 0.00279109 8.84479e-06864.882 3.9966
2.35 0.254392 0.00107669 0.0115711 2.96027e-05 -2.53646 0.00125723 0.00178347 6.1608e-06330.698 2.13531
2.4 0.168196 0.00075227 0.00600355 1.85206e-05 -2.40626 0.00156508 0.00134542 4.35825e-06155.383 0.935425
2.45 0.129277 0.00068619 0.00365884 1.29478e-05 -2.30205 0.00171927 0.00109984 3.57799e-0692.0382 0.525121
2.5 0.107223 0.000599004 0.0025207 8.83192e-06 -2.2111 0.00200636 0.00100546 3.18429e-0662.8188 0.329534
2.55 0.0892493 0.000570337 0.00176058 6.76823e-06 -2.12956 0.00211314 0.000901009 2.8464e-0646.0467 0.211415
2.6 0.0804219 0.000562491 0.00139847 5.20826e-06 -2.05418 0.00206399 0.000783246 2.34666e-0635.8113 0.155992
2.675 0.0686517 0.000550155 0.000980498 3.54522e-06 -1.95908 0.00226422 0.000656421 2.09351e-0626.3619 0.10435
2.75 0.0611036 0.000582782 0.000760213 2.72525e-06 -1.86945 0.00260324 0.000636795 1.90997e-0620.5924 0.0759799
2.825 0.0546009 0.00054645 0.000587734 2.07628e-06 -1.79292 0.00296862 0.000599499 1.92181e-0616.8696 0.0587188
2.9 0.0495705 0.000597816 0.000481625 1.75089e-06 -1.72249 0.00245468 0.000465679 1.49186e-0614.1136 0.0448486
2.975 0.0463054 0.000553528 0.000399853 1.38747e-06 -1.65655 0.00260635 0.000451858 1.4569e-0612.0887 0.035962
3.05 0.0428133 0.000604945 0.000354757 1.39586e-06 -1.59539 0.00271278 0.000411613 1.33417e-0610.604 0.0309077
3.125 0.0422214 0.000611455 0.000316708 1.18399e-06 -1.54341 0.00324528 0.000402389 1.23466e-069.51312 0.0277698
3.2 0.0382009 0.000528565 0.000262738 1.01257e-06 -1.48646 0.00298156 0.000375968 1.15856e-068.52422 0.0238724
3.275 0.0368462 0.000573922 0.000234117 8.55196e-07 -1.44542 0.00312994 0.000317677 9.82338e-077.73903 0.0211981
3.35 0.0352471 0.000522707 0.000197838 7.20333e-07 -1.40162 0.00299517 0.000295861 1.00394e-067.10535 0.0192896
3.425 0.0331802 0.000564943 0.000184676 7.28414e-07 -1.35733 0.00296851 0.00028505 8.90299e-076.56236 0.017674
3.5 0.0328747 0.000600319 0.000174733 6.6304e-07 -1.32156 0.00284361 0.00025558 7.50089e-076.12798 0.0160433
