# Lattice: 60^2 B = 0 iterations = 50000 Algorithm: metro
# radius correlation
0 0.00183915359928466
1 2.59674659493503e-05
1.4142135623731 -6.90000717340489e-07
2 -8.21867383908141e-07
2.23606797749979 -8.92400717183994e-07
2.82842712474619 -8.74000717215884e-07
3 -9.50667383795937e-07
3.16227766016838 -1.01660071709364e-06
3.60555127546399 -1.37080071679896e-06
4 -6.99200717324544e-07
4.12310562561766 -1.32020071683114e-06
4.24264068711928 -1.24200071688341e-06
4.47213595499958 -1.43980071674876e-06
5 -1.58765785949834e-06
5.09901951359278 -1.57320071664246e-06
5.3851648071345 -1.83540071645172e-06
5.65685424949238 -1.95040071637731e-06
5.8309518948453 -1.9412007163655e-06
6 -1.14693405032599e-06
6.08276253029822 -1.82620071643991e-06
6.32455532033676 -2.01480071630733e-06
6.40312423743285 -2.11140071623706e-06
6.70820393249937 -2.10220071623912e-06
7 -1.50880071669857e-06
7.07106781186548 -2.35185526149943e-06
7.21110255092798 -2.47020071594828e-06
7.28010988928052 -2.46560071594436e-06
7.61577310586391 -2.81257214426337e-06
7.81024967590665 -2.87500071563529e-06
8 -2.26320071609424e-06
8.06225774829855 -2.86514357279127e-06
8.24621125123532 -2.94400071557518e-06
8.48528137423857 -3.45920071517791e-06
8.54400374531753 -3.40137214378216e-06
8.60232526704263 -3.72731500067732e-06
8.94427190999916 -3.60640071506158e-06
9 -2.87040071565251e-06
9.05538513813742 -3.26140071535419e-06
9.21954445729289 -3.70453404832105e-06
9.4339811320566 -3.73257214354122e-06
9.48683298050514 -3.5742007151035e-06
9.8488578017961 -3.68460071500931e-06
9.89949493661167 -5.02933404726106e-06
10 -3.86966225332305e-06
10.0498756211209 -3.99740071475863e-06
10.1980390271856 -4.19980071461601e-06
10.295630140987 -3.98820071476069e-06
10.4403065089106 -4.07560071469248e-06
10.6301458127346 -4.64293404759767e-06
10.770329614269 -3.94220071484042e-06
10.816653826392 -3.94220071479878e-06
11 -3.82720071490095e-06
11.0453610171873 -4.41600071444948e-06
11.1803398874989 -4.27110071454795e-06
11.3137084989848 -4.53866738100069e-06
11.4017542509914 -4.31541404783964e-06
11.6619037896906 -4.37000071447369e-06
11.7046999107196 -4.26420071454603e-06
12 -4.39146738112628e-06
12.0415945787923 -4.61472071427623e-06
12.0830459735946 -4.35620071446985e-06
12.1655250605964 -4.82080071410873e-06
12.2065556157337 -4.72091499990692e-06
12.369316876853 -4.49880071436148e-06
12.5299640861417 -4.49880071437536e-06
12.6491106406735 -4.31480071451384e-06
12.7279220613579 -4.29640071453186e-06
12.8062484748657 -4.77348642845067e-06
13 -4.40022928587564e-06
13.0384048104053 -4.72757404751759e-06
13.1529464379659 -4.7518007141728e-06
13.3416640641263 -4.58620071430715e-06
13.4164078649987 -4.36540071448166e-06
13.4536240470737 -4.65520071424308e-06
13.6014705087354 -4.62944071427292e-06
13.8924439894498 -4.62102928569915e-06
13.9283882771841 -4.19980071460213e-06
14 -4.63066738093376e-06
14.0356688476182 -4.95880071402222e-06
14.142135623731 -4.83613404742937e-06
14.2126704035519 -4.96340071400037e-06
14.3178210632764 -4.45280071440651e-06
14.422205101856 -5.17302928528172e-06
14.560219778561 -4.55860071431335e-06
14.7648230602334 -4.60525785712334e-06
14.8660687473185 -4.67820071423791e-06
15 -4.87074357122649e-06
15.0332963783729 -5.1704007138359e-06
15.1327459504216 -5.07380071392005e-06
15.2315462117278 -4.10320071468628e-06
15.2643375224737 -5.00480071397025e-06
15.2970585407784 -5.05080071393216e-06
15.52417469626 -4.91280071406031e-06
15.556349186104 -5.56600071355273e-06
15.6204993518133 -5.17040071386365e-06
15.6524758424985 -4.40022928590736e-06
15.8113883008419 -4.5839007143042e-06
16 -5.26853404708705e-06
16.0312195418814 -5.46940071360913e-06
16.1245154965971 -5.03178738062715e-06
16.1554944214035 -3.99280071475272e-06
16.2788205960997 -5.40730071366124e-06
16.4012194668567 -5.34980071370539e-06
16.4924225024706 -4.92200071404436e-06
16.5529453572468 -4.16891500034021e-06
16.6433169770932 -5.0738007138923e-06
16.7630546142402 -4.37460071446572e-06
16.9705627484771 -5.9156007132799e-06
17 -5.20012379075977e-06
17.0293863659264 -5.5637007135359e-06
17.0880074906351 -4.24120071457201e-06
17.1172427686237 -5.38200071367734e-06
17.2046505340853 -5.25780071376769e-06
17.2626765016321 -5.18420071383974e-06
17.464249196573 -4.66869404757523e-06
17.4928556845359 -5.01860071396021e-06
17.6918060129541 -6.13640071309152e-06
17.7200451466693 2.54367992857107e-05
17.8044938147649 -5.529200713561e-06
17.8885438199983 -5.15725785673763e-06
18 -5.4648007135986e-06
18.0277563773199 -1.73433404725605e-06
18.1107702762748 -5.78220071337232e-06
18.2482875908947 -5.72240071343433e-06
18.3575597506858 -5.0416007139481e-06
18.3847763108502 -5.04494616849659e-06
18.4390889145858 -5.69480071344053e-06
18.6010752377383 -5.62120071351258e-06
18.6815416922694 -5.07380071390617e-06
18.7882942280559 -5.49897214216103e-06
18.8679622641132 -5.5016007135672e-06
18.9736659610103 -4.72880071419879e-06
19 -7.54400071197499e-06
19.0262975904404 -9.48520071047954e-06
19.1049731745428 -7.24040071224212e-06
19.2093727122985 -5.96620071321996e-06
19.2353840616713 -6.36640071293345e-06
19.313207915828 -4.67360071424291e-06
19.4164878389476 -1.25340459955492e-08
19.6468827043885 -8.33520071139016e-06
19.6977156035922 -5.54102928500872e-06
19.723082923316 -5.54760071355687e-06
19.7989898732233 -6.07200071317537e-06
19.8494332412792 -6.06740071312784e-06
19.9248588451713 -7.90280071169547e-06
20 -6.41992798561757e-06
20.0249843945008 -9.53120071045532e-06
20.0997512422418 -9.37480071058761e-06
20.1246117974981 -5.3958007136673e-06
20.2237484161567 -9.1172007107565e-06
20.2484567313166 3.33999287079519e-07
20.3960780543711 -9.1816007107004e-06
20.5182845286832 -6.12260071310156e-06
20.591260281974 4.56739928637873e-06
20.6155281280883 -7.29560071219965e-06
20.8086520466848 -5.84200071333807e-06
20.8806130178211 -8.35360071138602e-06
21 -6.96746737908575e-06
21.0237960416286 -8.6802007111253e-06
21.095023109729 -6.80186737925248e-06
21.1896201004171 1.20879992883127e-05
21.2132034355964 2.47899928799977e-06
21.2602916254693 -6.05360071316563e-06
21.3775583264319 -8.76760071102933e-06
21.4009345590327 -5.85120071332212e-06
21.4709105535839 -8.9056007109567e-06
21.540659228538 -8.51000071125374e-06
21.5870331449229 -8.58360071118169e-06
21.6333076527839 -5.68100071345057e-06
21.8403296678416 -8.34440071137421e-06
21.9317121994613 -6.90306737916961e-06
21.9544984001001 -9.53120071045532e-06
22 -6.05973404647446e-06
22.0227155455452 -6.76200071260865e-06
22.0907220343745 -8.3260007114061e-06
22.1359436211787 -7.88440071172736e-06
22.2036033111745 -6.78346737926587e-06
22.3606797749979 -8.76300071103731e-06
22.4722050542442 -9.00220071087254e-06
22.561028345357 -8.16960071148287e-06
22.6274169979695 -6.35720071293089e-06
22.6715680975093 -6.08580071313758e-06
22.8035085019828 -6.56266737943575e-06
22.8254244210267 -9.46680071048367e-06
22.8473193175917 -8.36280071137008e-06
23 -6.14560071306632e-06
23.0217288664427 -8.92400071092481e-06
23.0867927612304 -8.08680071157086e-06
23.1948270094864 -8.23400071145453e-06
23.259406699226 -8.61120071118937e-06
23.3238075793812 -9.20920071068032e-06
23.3452350598575 -6.56266737941724e-06
