# Lattice: 60^2 B = 0 iterations = 200000 Algorithm: wolff
# T mag magerr sus suserr eng engerr heat heaterr clustersize clustersizeerr engcorrtime magcorrtime
1.5 0.986501 8.18462e-06 7.51525e-06 2.47631e-08 -3.90224 5.41871e-05 0.000218998 7.01332e-07 3503.36 0.917854 0.578289  0.579899 
1.575 0.981571 1.01966e-05 1.06429e-05 3.49764e-08 -3.86923 6.47105e-05 0.000271456 8.93122e-07 3469.09 1.06733 0.597693  0.599242 
1.65 0.975238 1.26831e-05 1.50427e-05 5.03879e-08 -3.82838 7.63787e-05 0.000331373 1.05081e-06 3424.89 1.21273 0.616568  0.615182 
1.725 0.967148 1.61275e-05 2.1779e-05 7.21556e-08 -3.77861 9.20714e-05 0.000406461 1.31088e-06 3364.46 1.40442 0.647023  0.655035 
1.8 0.956822 2.04199e-05 3.17284e-05 1.1365e-07 -3.71847 0.000108585 0.000489824 1.6163e-06 3297.63 1.56424 0.668781  0.680545 
1.875 0.943555 2.68073e-05 4.77196e-05 1.67781e-07 -3.64612 0.000129839 0.000589114 1.90818e-06 3205.95 1.74961 0.715257  0.72487 
1.95 0.926193 3.60404e-05 7.46778e-05 2.84792e-07 -3.55919 0.000156578 0.000701431 2.19819e-06 3089.08 1.9543 0.765382  0.788735 
2.025 0.902539 5.19691e-05 0.000130341 5.17303e-07 -3.45344 0.000195251 0.000863429 2.88593e-06 2934.08 2.17895 0.83398  0.877565 
2.1 0.868667 8.23846e-05 0.000265547 1.2656e-06 -3.32394 0.000247998 0.00106774 3.26828e-06 2722.27 2.38247 0.920367  0.987693 
2.15 0.835753 0.000126099 0.00050838 2.96676e-06 -3.21968 0.00030794 0.00126638 4.04025e-06 2518 2.57339 1.01754  1.13304 
2.2 0.784556 0.000241356 0.00137256 1.1912e-05 -3.09279 0.000410944 0.00156324 4.99123e-06 2227.45 2.80491 1.19363  1.38102 
2.25 0.680896 0.000674473 0.00649431 4.38299e-05 -2.92894 0.000659391 0.00214238 6.55032e-06 1719.12 3.51796 1.48668  1.91439 
2.3 0.450236 0.00137939 0.0172954 4.27783e-05 -2.71523 0.00104502 0.00232083 7.08586e-06 872.557 4.2538 1.15933  2.15597 
2.35 0.255593 0.00106906 0.0115953 2.9679e-05 -2.53807 0.00130219 0.00165286 5.48771e-06 333.472 2.12522 0.38852  1.72082 
2.4 0.170638 0.000747771 0.00614829 1.92204e-05 -2.41 0.00148081 0.00124793 4.06883e-06 156.775 0.90847 0.165023  1.32849 
2.45 0.129407 0.000645424 0.00369146 1.33421e-05 -2.30646 0.00161788 0.00103905 3.3112e-06 92.7382 0.528493 0.118654  1.08113 
2.5 0.106258 0.000587487 0.00246845 9.06394e-06 -2.21029 0.0021141 0.000946913 2.96768e-06 62.0295 0.322423 0.0963667  1.30123 
2.55 0.0917134 0.000574684 0.00182021 6.6294e-06 -2.13195 0.00219343 0.000890234 2.87772e-06 46.1713 0.226337 0.0912572  1.06594 
2.6 0.0797341 0.000546632 0.00136027 4.76593e-06 -2.06007 0.00201553 0.00077618 2.58492e-06 36.1692 0.16111 0.0848843  0.77787 
2.675 0.0683613 0.000582106 0.000996484 3.86918e-06 -1.95812 0.00241366 0.000707849 2.27182e-06 26.412 0.106819 0.0932627  0.843845 
2.75 0.0597268 0.000573379 0.000741289 2.95287e-06 -1.86932 0.00230894 0.000607184 1.95081e-06 20.5586 0.0693194 0.0920989  0.663026 
2.825 0.0545043 0.000568482 0.00059665 2.42967e-06 -1.79341 0.00245113 0.000553383 1.7664e-06 16.8647 0.0545421 0.0898193  0.6373 
2.9 0.0513377 0.000590229 0.00052613 2.03505e-06 -1.72708 0.00260557 0.000518275 1.67887e-06 14.1683 0.0459757 0.0898597  0.613006 
2.975 0.0450044 0.000568884 0.000399387 1.53782e-06 -1.65471 0.00316245 0.00047847 1.5699e-06 12.1611 0.0358638 0.0920104  0.797792 
3.05 0.0436132 0.00057909 0.000348803 1.29109e-06 -1.59893 0.00316661 0.000415171 1.29445e-06 10.6632 0.0310564 0.0933673  0.769033 
3.125 0.041821 0.000601802 0.00031977 1.22322e-06 -1.54219 0.00281319 0.000384106 1.14016e-06 9.4603 0.0273052 0.0952405  0.554434 
3.2 0.0390606 0.000602755 0.000277103 1.01243e-06 -1.48826 0.00300539 0.000334783 1.11905e-06 8.48432 0.023733 0.0965617  0.620946 
3.275 0.0369304 0.00061015 0.000235612 8.79984e-07 -1.44075 0.00278238 0.000328802 1.09437e-06 7.71685 0.0212224 0.103419  0.470559 
3.35 0.0345069 0.000594535 0.000208874 8.20112e-07 -1.40203 0.00310791 0.00030603 9.97332e-07 7.14578 0.0195577 0.10027  0.55825 
3.425 0.0339672 0.000571637 0.000186916 6.37353e-07 -1.35656 0.00290371 0.000283473 8.66307e-07 6.59711 0.0179194 0.0935373  0.464648 
3.5 0.0326193 0.00060102 0.000174327 6.75029e-07 -1.31639 0.00287908 0.000245347 8.21663e-07 6.12614 0.0161028 0.100747  0.469325 
